date,open,high,low,close
1516458600000,127.601,127.9999,127.6,127.65
1516460400000,127.6401,128.45,127.6301,127.8
1516462200000,127.745,128.89,127.7101,128.88
1516464000000,128.8998,131.95,128.512,130.8
1516465800000,130.8,131.98,130.0001,131.699
1516467600000,131.51,134.97,131.5,134.82
1516469400000,134.8201,134.8201,132.82,133.9501
1516471200000,133.9501,134.3899,133.5,133.6
1516473000000,133.6,134.4973,133.0002,133.5498
1516474800000,133.55,133.7999,133.21,133.799
1516476600000,133.7997,134.0,133.5001,133.54
1516478400000,133.5,133.6499,132.0,132.2101
1516480200000,132.999,134.4997,132.1002,134.1001
1516482000000,134.1,134.3298,132.0,132.23
1516483800000,132.0002,134.7,132.0002,134.5001
1516485600000,134.7,136.6744,134.2907,135.7997
1516487400000,136.4,138.5999,135.7996,137.4999
1516489200000,137.39,137.498,135.0,136.2106
1516491000000,136.211,137.1825,135.0,137.0
1516492800000,137.0,138.0,134.5242,134.6
1516494600000,134.524,135.55,130.0,130.2
1516496400000,130.2,135.0,128.8,134.4
1516498200000,134.4,134.4899,132.495,133.1
1516500000000,133.1,134.4195,133.0001,134.0
1516501800000,134.0,134.1,132.89,133.1955
1516503600000,132.9,133.5,132.0001,132.02
1516505400000,132.02,132.4494,130.005,130.2005
1516507200000,130.2,132.0,128.0,130.4999
1516509000000,130.5008,131.0,125.1,125.4999
1516510800000,125.3516,129.5,123.8001,127.2
1516512600000,127.0,127.9,122.1111,122.1235
1516514400000,122.92,125.9,122.2,125.0001
1516516200000,125.0003,127.3997,122.3,123.4
1516518000000,123.0,123.399,118.8,120.0
1516519800000,120.0,120.0,113.0,120.0
1516521600000,120.0,129.9999,118.0,123.49
1516523400000,122.2009,123.4999,118.8147,119.9
1516525200000,120.0,120.9998,116.1,119.12
1516527000000,119.1009,122.0,118.322,118.6
1516528800000,118.6,121.999,118.6,121.56
1516530600000,121.53,123.9,120.6011,121.0008
1516532400000,121.0009,125.9,121.0009,123.9
1516534200000,124.0,127.9,124.0,126.95
1516536000000,126.9,127.7999,123.9,124.5
1516537800000,124.5,125.9,122.3,122.69
1516539600000,122.7997,124.7989,122.4001,124.2
1516541400000,124.2,126.1,123.8506,124.1
1516543200000,124.15,124.6986,122.4,122.85
1516545000000,122.8,122.9,120.5,121.6
1516546800000,121.181,123.9999,121.181,122.3505
1516548600000,122.0,122.3,118.1888,119.0001
1516550400000,118.7,120.0003,116.5101,117.01
1516552200000,117.2,120.9416,117.0,118.2
1516554000000,118.0,120.0,117.4,119.6164
1516555800000,119.6164,121.7532,119.0011,119.9
1516557600000,120.0,121.4,117.9999,118.64
1516559400000,118.85,119.32,117.7,119.0001
1516561200000,119.0,121.0,118.548,119.92
1516563000000,120.3899,120.3899,119.1384,119.49
1516564800000,119.2,119.2002,115.5,116.9999
1516566600000,116.9998,117.0,114.75,115.0001
1516568400000,115.0,119.9897,114.8,118.5
1516570200000,119.04,119.5184,117.3,118.4
1516572000000,118.4993,122.0,118.0012,120.8787
1516573800000,121.0,121.9998,118.2014,119.0
1516575600000,118.5,120.4999,118.01,119.1
1516577400000,119.2,121.0,119.2,121.0
1516579200000,121.0,122.0,120.15,120.63
1516581000000,120.624,122.9999,120.6,122.21
1516582800000,122.4,122.84,119.7,120.4997
1516584600000,120.0006,120.9977,117.5,118.8003
1516586400000,118.8003,119.3999,116.4,117.4
1516588200000,117.23,121.4999,117.0,121.39
1516590000000,121.2,121.4,118.9,119.98
1516591800000,119.97,121.0,119.4,120.5
1516593600000,120.5001,121.85,120.4,121.4
1516595400000,121.8,121.8,119.8302,120.83
1516597200000,120.89,120.89,119.7,119.95
1516599000000,120.0,121.0,119.0,119.1204
1516600800000,119.12,120.6,118.5,120.0101
1516602600000,120.3,120.4,120.0,120.0
1516604400000,120.0,120.3799,119.53,119.82
1516606200000,119.9996,121.1,119.75,120.9
1516608000000,120.9,121.66,120.75,121.01
1516609800000,121.0001,121.7,120.6001,121.14
1516611600000,121.01,121.53,120.5112,121.29
1516613400000,121.2,121.7261,120.5,121.25
1516615200000,121.05,121.5996,120.76,121.005
1516617000000,121.0,121.5888,120.8501,121.55
1516618800000,121.55,121.79,120.81,120.9999
1516620600000,121.0,121.1999,117.6,117.7
1516622400000,117.7,119.4439,116.8002,116.8003
1516624200000,116.9999,119.04,116.6,117.7
1516626000000,117.6204,117.89,111.0,111.0014
1516627800000,111.0,113.0,108.0,112.0
1516629600000,112.0,114.0,110.0001,112.5
1516631400000,112.2,114.9485,108.1001,110.1
1516633200000,110.1,110.7134,105.5,109.5
1516635000000,109.5,111.3707,103.9334,104.1
1516636800000,104.1,107.0,103.0003,104.0003
1516638600000,104.0001,106.9997,103.0,105.2
1516640400000,105.1,108.3667,105.1,106.5002
1516642200000,106.5002,108.0,105.0,105.5
1516644000000,105.5609,107.6645,104.1,106.2
1516645800000,106.78,106.9999,104.1,104.2811
1516647600000,104.2811,105.0,103.2,104.0
1516649400000,104.3,106.7,103.8,104.55
1516651200000,104.6498,105.2,103.7,104.0003
1516653000000,104.0003,106.0,103.5,105.3
1516654800000,105.0001,106.3,101.2,102.45
1516656600000,101.2,105.0,100.3258,104.4488
1516658400000,103.5011,108.0,103.5003,105.44
1516660200000,105.1901,111.0,104.5,111.0
1516662000000,111.0,112.0,108.0,108.9996
1516663800000,108.5,112.4,108.5,111.79
1516665600000,111.55,112.4899,110.0,110.2
1516667400000,110.0,111.9996,108.1901,109.0
1516669200000,109.0,111.01,108.5101,110.2002
1516671000000,110.2003,110.7,109.51,109.52
1516672800000,109.5201,110.27,108.505,110.0003
1516674600000,110.5,110.9,108.505,109.3
1516676400000,109.3,110.311,109.0012,110.311
1516678200000,110.4,113.0,110.32,111.9
1516680000000,111.9,112.05,110.1003,110.5902
1516681800000,110.53,111.0,108.5,108.501
1516683600000,109.0,109.0,105.5,106.29
1516685400000,106.46,107.9797,106.29,107.0
1516687200000,107.0,108.4999,106.8,107.1111
1516689000000,107.3,107.79,106.0,106.9
1516690800000,106.41,107.19,103.0001,103.89
1516692600000,103.85,105.3228,103.5,103.5
